inviter_id,cate_level1_id,cate1_interaction_freq
0000ec6f26ef7625d492ee3e57832a0f,16,2
0000ec6f26ef7625d492ee3e57832a0f,1625,3
0000ec6f26ef7625d492ee3e57832a0f,50012082,1
0000ec6f26ef7625d492ee3e57832a0f,50016348,2
000703f125be99b070a684af3bc06a22,16,7
000703f125be99b070a684af3bc06a22,21,1
000703f125be99b070a684af3bc06a22,50002766,1
000703f125be99b070a684af3bc06a22,50010404,2
000703f125be99b070a684af3bc06a22,50014927,1
000703f125be99b070a684af3bc06a22,50018004,1
0007ca9e703ed4c3b33cb5eea02c2567,11,1
0007ca9e703ed4c3b33cb5eea02c2567,122928002,2
0007ca9e703ed4c3b33cb5eea02c2567,122950001,2
0007ca9e703ed4c3b33cb5eea02c2567,122952001,6
0007ca9e703ed4c3b33cb5eea02c2567,124484008,2
0007ca9e703ed4c3b33cb5eea02c2567,126700003,3
0007ca9e703ed4c3b33cb5eea02c2567,201156706,6
0007ca9e703ed4c3b33cb5eea02c2567,27,2
0007ca9e703ed4c3b33cb5eea02c2567,28,1
0007ca9e703ed4c3b33cb5eea02c2567,30,1
0007ca9e703ed4c3b33cb5eea02c2567,50007218,1
0007ca9e703ed4c3b33cb5eea02c2567,50008164,3
0007ca9e703ed4c3b33cb5eea02c2567,50011699,1
0007ca9e703ed4c3b33cb5eea02c2567,50012082,2
0007ca9e703ed4c3b33cb5eea02c2567,50013886,3
0007ca9e703ed4c3b33cb5eea02c2567,50016349,1
0007ca9e703ed4c3b33cb5eea02c2567,50018004,4
0007ca9e703ed4c3b33cb5eea02c2567,50020332,4
0007ca9e703ed4c3b33cb5eea02c2567,50020579,1
0007ca9e703ed4c3b33cb5eea02c2567,50020611,10
0007ca9e703ed4c3b33cb5eea02c2567,50025004,1
0007ca9e703ed4c3b33cb5eea02c2567,50025111,1
0007ca9e703ed4c3b33cb5eea02c2567,50026800,2
0007ca9e703ed4c3b33cb5eea02c2567,98,1
00099a4505b0ae1d6aec8db67f13567c,11,1
00099a4505b0ae1d6aec8db67f13567c,124354002,1
00099a4505b0ae1d6aec8db67f13567c,16,1
00099a4505b0ae1d6aec8db67f13567c,21,1
00099a4505b0ae1d6aec8db67f13567c,25,1
00099a4505b0ae1d6aec8db67f13567c,26,2
00099a4505b0ae1d6aec8db67f13567c,27,2
00099a4505b0ae1d6aec8db67f13567c,50006842,1
00099a4505b0ae1d6aec8db67f13567c,50008164,1
00099a4505b0ae1d6aec8db67f13567c,50010404,1
00099a4505b0ae1d6aec8db67f13567c,50011397,1
00099a4505b0ae1d6aec8db67f13567c,50011740,1
00099a4505b0ae1d6aec8db67f13567c,50012100,1
00099a4505b0ae1d6aec8db67f13567c,50013886,1
00099a4505b0ae1d6aec8db67f13567c,50020332,1
00099a4505b0ae1d6aec8db67f13567c,50020485,2
00099a4505b0ae1d6aec8db67f13567c,50020611,4
00099a4505b0ae1d6aec8db67f13567c,50023721,2
00099a4505b0ae1d6aec8db67f13567c,50024099,1
00099a4505b0ae1d6aec8db67f13567c,50026316,1
00099a4505b0ae1d6aec8db67f13567c,50510002,1
001402984cdfb4d05ac7ab2b410e504e,50002766,2
001402984cdfb4d05ac7ab2b410e504e,50010788,1
00189bcba55e3ffe420d28f008c245f9,122952001,1
00189bcba55e3ffe420d28f008c245f9,27,1
00189bcba55e3ffe420d28f008c245f9,35,4
00189bcba55e3ffe420d28f008c245f9,50016422,4
00189bcba55e3ffe420d28f008c245f9,50020485,2
00189bcba55e3ffe420d28f008c245f9,50023721,12
00189bcba55e3ffe420d28f008c245f9,50026316,1
00189bcba55e3ffe420d28f008c245f9,50026800,20
001b113dc6d0f4fb033b74b2880926a6,122952001,3
001b113dc6d0f4fb033b74b2880926a6,124242008,1
001b113dc6d0f4fb033b74b2880926a6,124354002,4
001b113dc6d0f4fb033b74b2880926a6,126700003,3
001b113dc6d0f4fb033b74b2880926a6,127484003,1
001b113dc6d0f4fb033b74b2880926a6,16,9
001b113dc6d0f4fb033b74b2880926a6,1625,1
001b113dc6d0f4fb033b74b2880926a6,26,1
001b113dc6d0f4fb033b74b2880926a6,28,1
001b113dc6d0f4fb033b74b2880926a6,30,20
001b113dc6d0f4fb033b74b2880926a6,33,2
001b113dc6d0f4fb033b74b2880926a6,50002766,1
001b113dc6d0f4fb033b74b2880926a6,50006843,2
001b113dc6d0f4fb033b74b2880926a6,50007218,1
001b113dc6d0f4fb033b74b2880926a6,50008090,18
001b113dc6d0f4fb033b74b2880926a6,50008163,6
001b113dc6d0f4fb033b74b2880926a6,50008165,1
001b113dc6d0f4fb033b74b2880926a6,50010404,4
001b113dc6d0f4fb033b74b2880926a6,50010728,1
001b113dc6d0f4fb033b74b2880926a6,50011397,1
001b113dc6d0f4fb033b74b2880926a6,50011740,1
001b113dc6d0f4fb033b74b2880926a6,50012100,2
001b113dc6d0f4fb033b74b2880926a6,50013864,1
001b113dc6d0f4fb033b74b2880926a6,50016422,4
001b113dc6d0f4fb033b74b2880926a6,50018004,1
001b113dc6d0f4fb033b74b2880926a6,50020485,3
001b113dc6d0f4fb033b74b2880926a6,50020579,1
001b113dc6d0f4fb033b74b2880926a6,50022517,1
001b113dc6d0f4fb033b74b2880926a6,50025004,1
001b113dc6d0f4fb033b74b2880926a6,50025705,3
001e5f321bfdcb21a6c7c10208bc2b29,16,7
001e5f321bfdcb21a6c7c10208bc2b29,1625,1
001e605f14390ca34475b2b9cb835172,16,2
001e605f14390ca34475b2b9cb835172,50026316,1
001eb346f0179d83ecdef55e3daf90ac,124050001,1
001eb346f0179d83ecdef55e3daf90ac,126762001,1
001eb346f0179d83ecdef55e3daf90ac,127876007,1
001eb346f0179d83ecdef55e3daf90ac,201156706,1
001eb346f0179d83ecdef55e3daf90ac,26,2
001eb346f0179d83ecdef55e3daf90ac,27,2
001eb346f0179d83ecdef55e3daf90ac,50007216,1
001eb346f0179d83ecdef55e3daf90ac,50008163,1
001eb346f0179d83ecdef55e3daf90ac,50010728,1
001eb346f0179d83ecdef55e3daf90ac,50011740,1
001eb346f0179d83ecdef55e3daf90ac,50012082,1
001eb346f0179d83ecdef55e3daf90ac,50013886,1
001eb346f0179d83ecdef55e3daf90ac,50014927,1
001eb346f0179d83ecdef55e3daf90ac,50020332,2
001eb346f0179d83ecdef55e3daf90ac,50020485,2
001eb346f0179d83ecdef55e3daf90ac,50020579,1
001eb346f0179d83ecdef55e3daf90ac,50020611,1
001eb346f0179d83ecdef55e3daf90ac,50025004,1
0021fda7e7d09657f66c218b258dd934,122928002,1
0021fda7e7d09657f66c218b258dd934,124050001,1
0021fda7e7d09657f66c218b258dd934,126700003,3
0021fda7e7d09657f66c218b258dd934,16,3
0021fda7e7d09657f66c218b258dd934,1625,3
0021fda7e7d09657f66c218b258dd934,21,1
0021fda7e7d09657f66c218b258dd934,27,14
0021fda7e7d09657f66c218b258dd934,33,1
0021fda7e7d09657f66c218b258dd934,50002768,2
0021fda7e7d09657f66c218b258dd934,50006843,1
0021fda7e7d09657f66c218b258dd934,50008090,3
0021fda7e7d09657f66c218b258dd934,50010728,2
0021fda7e7d09657f66c218b258dd934,50012082,3
0021fda7e7d09657f66c218b258dd934,50013864,1
0021fda7e7d09657f66c218b258dd934,50014927,1
0021fda7e7d09657f66c218b258dd934,50016348,1
0021fda7e7d09657f66c218b258dd934,50020332,1
0021fda7e7d09657f66c218b258dd934,50020485,1
0021fda7e7d09657f66c218b258dd934,50020579,1
0021fda7e7d09657f66c218b258dd934,50022517,1
0021fda7e7d09657f66c218b258dd934,50022703,10
0021fda7e7d09657f66c218b258dd934,50025004,1
002228fc0ed88de51945cf886c614ad2,122852001,3
002228fc0ed88de51945cf886c614ad2,16,1
002228fc0ed88de51945cf886c614ad2,1801,1
002228fc0ed88de51945cf886c614ad2,50008164,1
002228fc0ed88de51945cf886c614ad2,50025705,1
002228fc0ed88de51945cf886c614ad2,50050359,1
00299f93a31d7fea23bcefe6bbab9373,50020332,5
003365c247470227b76c0574a4331268,122852001,1
003365c247470227b76c0574a4331268,126762001,1
003365c247470227b76c0574a4331268,1625,2
003365c247470227b76c0574a4331268,1801,2
003365c247470227b76c0574a4331268,50011740,1
003365c247470227b76c0574a4331268,50012100,1
003365c247470227b76c0574a4331268,50013864,1
003365c247470227b76c0574a4331268,50016422,1
003365c247470227b76c0574a4331268,50023282,2
003365c247470227b76c0574a4331268,50025705,3
003365c247470227b76c0574a4331268,50050359,2
0038e3fbc7cc91099b5747d1e73059e3,16,4
0038e3fbc7cc91099b5747d1e73059e3,1625,2
0038e3fbc7cc91099b5747d1e73059e3,1801,2
0038e3fbc7cc91099b5747d1e73059e3,21,2
0038e3fbc7cc91099b5747d1e73059e3,50002766,1
0038e3fbc7cc91099b5747d1e73059e3,50010404,2
0038e3fbc7cc91099b5747d1e73059e3,50011699,1
0038e3fbc7cc91099b5747d1e73059e3,50011972,1
0038e3fbc7cc91099b5747d1e73059e3,50016348,1
0038e3fbc7cc91099b5747d1e73059e3,50025705,1
003bb296d2b0238246e1d7eacb74031c,16,4
003bb296d2b0238246e1d7eacb74031c,1625,1
003bb296d2b0238246e1d7eacb74031c,1801,2
003bb296d2b0238246e1d7eacb74031c,30,3
003bb296d2b0238246e1d7eacb74031c,50002766,1
003bb296d2b0238246e1d7eacb74031c,50006843,1
003bb296d2b0238246e1d7eacb74031c,50010788,3
003bb296d2b0238246e1d7eacb74031c,50011699,1
003bb296d2b0238246e1d7eacb74031c,50016422,1
003bb296d2b0238246e1d7eacb74031c,50023721,1
00408743f8cb98a756a5ca71dfb3f3e7,16,3
00408743f8cb98a756a5ca71dfb3f3e7,1801,1
0045f320fc3a5e42053608662fe83efd,122718004,1
0045f320fc3a5e42053608662fe83efd,122852001,1
0045f320fc3a5e42053608662fe83efd,126762001,4
0045f320fc3a5e42053608662fe83efd,16,1
0045f320fc3a5e42053608662fe83efd,1801,1
0045f320fc3a5e42053608662fe83efd,25,2
0045f320fc3a5e42053608662fe83efd,30,1
0045f320fc3a5e42053608662fe83efd,50010788,1
0045f320fc3a5e42053608662fe83efd,50016348,1
0045f320fc3a5e42053608662fe83efd,50025705,2
0047ed23fcf33da6447fd16f0b6649ea,16,1
0047ed23fcf33da6447fd16f0b6649ea,1801,3
0047ed23fcf33da6447fd16f0b6649ea,33,2
0047ed23fcf33da6447fd16f0b6649ea,50008090,1
0047ed23fcf33da6447fd16f0b6649ea,50011972,2
0047ed23fcf33da6447fd16f0b6649ea,50016422,1
0047ed23fcf33da6447fd16f0b6649ea,50023282,2
0047ed23fcf33da6447fd16f0b6649ea,50025111,1
0047ed23fcf33da6447fd16f0b6649ea,50025705,6
00494ace6342610da13516b81c82b942,50006842,1
00494ace6342610da13516b81c82b942,50008164,1
00494ace6342610da13516b81c82b942,50010788,1
004a44f7f70f3b59cbfd38a842b592b9,122852001,1
004a44f7f70f3b59cbfd38a842b592b9,122928002,4
004a44f7f70f3b59cbfd38a842b592b9,122952001,2
004a44f7f70f3b59cbfd38a842b592b9,16,20
004a44f7f70f3b59cbfd38a842b592b9,1625,3
004a44f7f70f3b59cbfd38a842b592b9,1801,3
004a44f7f70f3b59cbfd38a842b592b9,30,17
004a44f7f70f3b59cbfd38a842b592b9,50006842,3
004a44f7f70f3b59cbfd38a842b592b9,50006843,4
004a44f7f70f3b59cbfd38a842b592b9,50008090,3
004a44f7f70f3b59cbfd38a842b592b9,50008163,5
004a44f7f70f3b59cbfd38a842b592b9,50008164,1
004a44f7f70f3b59cbfd38a842b592b9,50010404,2
004a44f7f70f3b59cbfd38a842b592b9,50010788,2
004a44f7f70f3b59cbfd38a842b592b9,50011740,2
004a44f7f70f3b59cbfd38a842b592b9,50013864,6
004a44f7f70f3b59cbfd38a842b592b9,50016348,1
004d26d3f749228c3bffdf7bfc112726,50006843,1
004d26d3f749228c3bffdf7bfc112726,50020485,1
004d26d3f749228c3bffdf7bfc112726,50050359,1
004e2a02bfbceae73b74f32005fb42aa,122718004,1
004e2a02bfbceae73b74f32005fb42aa,126762001,1
